signal_time,coin,tier,regime,hold_h,outcome,pnl_pct,lev_pnl,leverage,is_new
2024-02-12 17:00:00,LINKUSDT,A,RANGING,12,OPEN,-2.694,-16.165,6,True
2024-02-12 17:00:00,LINKUSDT,A,RANGING,24,STOP,-4.328,-25.965,6,True
2024-02-14 00:00:00,LINKUSDT,B,TRENDING,4,OPEN,-1.102,-5.511,5,True
2024-02-14 00:00:00,LINKUSDT,B,TRENDING,12,OPEN,-0.522,-2.612,5,True
2024-02-14 00:00:00,LINKUSDT,B,TRENDING,24,OPEN,-0.433,-2.166,5,True
2024-02-14 09:00:00,ATOMUSDT,A,RANGING,4,OPEN,-1.511,-10.576,7,True
2024-02-14 09:00:00,ATOMUSDT,A,RANGING,12,OPEN,-1.443,-10.104,7,True
2024-02-14 09:00:00,ATOMUSDT,A,RANGING,24,OPEN,-1.598,-11.183,7,True
2024-02-14 09:00:00,DOTUSDT,B,RANGING,4,OPEN,-1.256,-3.767,3,True
2024-02-14 09:00:00,DOTUSDT,B,RANGING,12,OPEN,-0.409,-1.228,3,True
2024-02-14 09:00:00,DOTUSDT,B,RANGING,24,OPEN,2.899,8.697,3,True
2024-02-16 23:00:00,SOLUSDT,B,RANGING,4,OPEN,-0.529,-5.817,11,False
2024-02-16 23:00:00,SOLUSDT,B,RANGING,12,STOP,-2.45,-26.953,11,False
2024-02-16 23:00:00,SOLUSDT,B,RANGING,24,STOP,-2.45,-26.953,11,False
2024-02-17 07:00:00,NEARUSDT,A,RANGING,4,STOP,-1.748,-27.969,16,True
2024-02-17 07:00:00,NEARUSDT,A,RANGING,12,STOP,-1.748,-27.969,16,True
2024-02-17 07:00:00,NEARUSDT,A,RANGING,24,STOP,-1.748,-27.969,16,True
2024-02-17 07:00:00,LINKUSDT,A,RANGING,4,TARGET,1.439,31.655,22,True
2024-02-17 07:00:00,LINKUSDT,A,RANGING,12,TARGET,1.439,31.655,22,True
2024-02-17 07:00:00,LINKUSDT,A,RANGING,24,TARGET,1.439,31.655,22,True
2024-02-17 20:00:00,DOTUSDT,B,RANGING,4,OPEN,0.499,1.998,4,True
2024-02-17 20:00:00,DOTUSDT,B,RANGING,12,OPEN,1.096,4.384,4,True
2024-02-17 20:00:00,DOTUSDT,B,RANGING,24,OPEN,1.952,7.808,4,True
2024-02-17 21:00:00,OPUSDT,A,RANGING,4,OPEN,-0.173,-1.038,6,True
2024-02-17 21:00:00,OPUSDT,A,RANGING,12,OPEN,3.506,21.035,6,True
2024-02-17 21:00:00,OPUSDT,A,RANGING,24,TARGET,5.405,32.429,6,True
2024-02-18 18:00:00,LINKUSDT,A,RANGING,4,OPEN,0.248,2.974,12,True
2024-02-18 18:00:00,LINKUSDT,A,RANGING,12,OPEN,-0.907,-10.881,12,True
2024-02-18 18:00:00,LINKUSDT,A,RANGING,24,STOP,-2.23,-26.754,12,True
2024-02-19 00:00:00,INJUSDT,A,RANGING,4,STOP,-1.831,-27.459,15,True
2024-02-19 00:00:00,INJUSDT,A,RANGING,12,STOP,-1.831,-27.459,15,True
2024-02-19 00:00:00,INJUSDT,A,RANGING,24,STOP,-1.831,-27.459,15,True
2024-02-21 23:00:00,BNBUSDT,A,RANGING,4,OPEN,0.15,0.902,6,False
2024-02-21 23:00:00,BNBUSDT,A,RANGING,12,OPEN,0.039,0.233,6,False
2024-02-21 23:00:00,BNBUSDT,A,RANGING,24,OPEN,1.777,10.664,6,False
2024-02-25 22:00:00,DOTUSDT,B,TRENDING,4,OPEN,-0.696,-5.568,8,True
2024-02-25 22:00:00,DOTUSDT,B,TRENDING,12,STOP,-3.072,-24.573,8,True
2024-02-25 22:00:00,DOTUSDT,B,TRENDING,24,STOP,-3.072,-24.573,8,True
2024-02-26 13:00:00,BNBUSDT,B,RANGING,4,OPEN,0.171,1.025,6,False
2024-02-26 13:00:00,BNBUSDT,B,RANGING,12,OPEN,0.413,2.476,6,False
2024-02-26 13:00:00,BNBUSDT,B,RANGING,24,OPEN,-1.222,-7.334,6,False
2024-02-26 13:00:00,NEARUSDT,A,RANGING,4,OPEN,0.172,0.344,2,True
2024-02-26 13:00:00,NEARUSDT,A,RANGING,12,OPEN,-2.686,-5.372,2,True
2024-02-26 13:00:00,NEARUSDT,A,RANGING,24,OPEN,-5.205,-10.41,2,True
2024-02-26 15:00:00,MATICUSDT,B,RANGING,4,OPEN,-0.249,-0.498,2,False
2024-02-26 15:00:00,MATICUSDT,B,RANGING,12,OPEN,-0.997,-1.993,2,False
2024-02-26 15:00:00,MATICUSDT,B,RANGING,24,OPEN,-3.968,-7.936,2,False
2024-02-28 08:00:00,INJUSDT,B,TRENDING,4,OPEN,-3.262,-6.524,2,True
2024-02-28 08:00:00,INJUSDT,B,TRENDING,12,STOP,-9.89,-19.78,2,True
2024-02-28 08:00:00,INJUSDT,B,TRENDING,24,STOP,-9.89,-19.78,2,True
2024-02-28 09:00:00,ARBUSDT,B,TRENDING,4,OPEN,0.904,9.044,10,False
2024-02-28 09:00:00,ARBUSDT,B,TRENDING,12,STOP,-2.728,-27.277,10,False
2024-02-28 09:00:00,ARBUSDT,B,TRENDING,24,STOP,-2.728,-27.277,10,False
2024-02-29 00:00:00,MATICUSDT,B,TRENDING,4,OPEN,1.658,4.973,3,False
2024-02-29 00:00:00,MATICUSDT,B,TRENDING,12,OPEN,2.665,7.995,3,False
2024-02-29 00:00:00,MATICUSDT,B,TRENDING,24,OPEN,-0.455,-1.365,3,False
2024-02-29 00:00:00,DOTUSDT,B,TRENDING,4,OPEN,2.374,4.748,2,True
2024-02-29 00:00:00,DOTUSDT,B,TRENDING,12,OPEN,4.786,9.572,2,True
2024-02-29 00:00:00,DOTUSDT,B,TRENDING,24,OPEN,-0.941,-1.882,2,True
2024-02-29 00:00:00,AVAXUSDT,A,TRENDING,4,OPEN,0.073,0.073,1,False
2024-02-29 00:00:00,AVAXUSDT,A,TRENDING,12,OPEN,3.65,3.65,1,False
2024-02-29 00:00:00,AVAXUSDT,A,TRENDING,24,OPEN,2.503,2.503,1,False
2024-02-29 00:00:00,NEARUSDT,B,TRENDING,4,OPEN,-0.874,-0.874,1,True
2024-02-29 00:00:00,NEARUSDT,B,TRENDING,12,OPEN,1.053,1.053,1,True
2024-02-29 00:00:00,NEARUSDT,B,TRENDING,24,OPEN,1.713,1.713,1,True
2024-03-02 11:00:00,LTCUSDT,B,RANGING,4,OPEN,-0.827,-1.655,2,True
2024-03-02 11:00:00,LTCUSDT,B,RANGING,12,OPEN,1.73,3.459,2,True
2024-03-02 11:00:00,LTCUSDT,B,RANGING,24,OPEN,-0.294,-0.589,2,True
2024-03-03 12:00:00,LTCUSDT,A,RANGING,4,OPEN,0.433,0.865,2,True
2024-03-03 12:00:00,LTCUSDT,A,RANGING,12,OPEN,-0.262,-0.524,2,True
2024-03-03 12:00:00,LTCUSDT,A,RANGING,24,OPEN,-0.736,-1.472,2,True
2024-03-06 18:00:00,ATOMUSDT,B,RANGING,4,OPEN,3.995,7.99,2,True
2024-03-06 18:00:00,ATOMUSDT,B,RANGING,12,OPEN,2.753,5.505,2,True
2024-03-06 18:00:00,ATOMUSDT,B,RANGING,24,OPEN,1.142,2.285,2,True
2024-03-07 11:00:00,AVAXUSDT,B,RANGING,4,OPEN,0.499,2.495,5,False
2024-03-07 11:00:00,AVAXUSDT,B,RANGING,12,OPEN,-0.692,-3.46,5,False
2024-03-07 11:00:00,AVAXUSDT,B,RANGING,24,OPEN,-0.157,-0.786,5,False
2024-03-10 04:00:00,BNBUSDT,A,RANGING,4,TARGET,5.019,35.136,7,False
2024-03-10 04:00:00,BNBUSDT,A,RANGING,12,TARGET,5.019,35.136,7,False
2024-03-10 04:00:00,BNBUSDT,A,RANGING,24,TARGET,5.019,35.136,7,False
2024-03-10 07:00:00,ARBUSDT,B,TRENDING,4,STOP,-1.544,-29.342,19,False
2024-03-10 07:00:00,ARBUSDT,B,TRENDING,12,STOP,-1.544,-29.342,19,False
2024-03-10 07:00:00,ARBUSDT,B,TRENDING,24,STOP,-1.544,-29.342,19,False
2024-03-10 07:00:00,AVAXUSDT,B,TRENDING,4,STOP,-1.332,-29.314,22,False
2024-03-10 07:00:00,AVAXUSDT,B,TRENDING,12,STOP,-1.332,-29.314,22,False
2024-03-10 07:00:00,AVAXUSDT,B,TRENDING,24,STOP,-1.332,-29.314,22,False
2024-03-10 21:00:00,LINKUSDT,A,RANGING,4,OPEN,-2.319,-4.638,2,True
2024-03-10 21:00:00,LINKUSDT,A,RANGING,12,OPEN,-1.703,-3.406,2,True
2024-03-10 21:00:00,LINKUSDT,A,RANGING,24,OPEN,-2.02,-4.04,2,True
2024-03-12 02:00:00,SOLUSDT,B,TRENDING,4,OPEN,-2.783,-11.13,4,False
2024-03-12 02:00:00,SOLUSDT,B,TRENDING,12,OPEN,-5.153,-20.612,4,False
