signal_time,entry_time,coin,entry_price,stop_price,target_price,stop_dist_pct,beta_4h,vol_zscore,regime,confidence,tier,leverage,rr,is_new
2023-10-15 13:00:00,2023-10-15 15:00:00,LTCUSDT,61.58,61.04325,62.385125,0.872,0.212,1.716,RANGING,59.5,B,28,1.5,True
2023-10-15 13:00:00,2023-10-15 15:00:00,NEARUSDT,1.021,1.001965,1.049552,1.864,-0.128,1.148,RANGING,72.2,B,13,1.5,True
2023-10-16 13:00:00,2023-10-16 15:00:00,APTUSDT,4.965,4.948135,5.061802,0.34,-1.296,6.459,TRENDING,75.0,A,73,5.74,True
2023-10-19 06:00:00,2023-10-19 08:00:00,NEARUSDT,0.977,0.966145,0.993283,1.111,-0.428,2.402,RANGING,91.0,A,22,1.5,True
2023-10-21 00:00:00,2023-10-21 02:00:00,AVAXUSDT,9.211,8.955,9.595,2.779,-0.573,2.973,TRENDING,74.6,B,8,1.5,False
2023-10-23 03:00:00,2023-10-23 05:00:00,ARBUSDT,0.8534,0.824258,0.897625,3.415,-0.115,1.021,RANGING,70.3,B,7,1.52,False
2023-10-23 03:00:00,2023-10-23 05:00:00,AVAXUSDT,10.248,9.797765,10.923352,4.393,-0.163,1.061,RANGING,70.9,B,5,1.5,False
2023-10-26 03:00:00,2023-10-26 05:00:00,ARBUSDT,0.9522,0.882764,1.056354,7.292,-2.687,3.097,TRENDING,75.0,A,3,1.5,False
2023-10-26 03:00:00,2023-10-26 05:00:00,OPUSDT,1.4095,1.354294,1.492308,3.917,-1.113,2.811,TRENDING,72.2,B,6,1.5,True
2023-10-26 21:00:00,2023-10-26 23:00:00,AVAXUSDT,11.051,10.221635,12.295048,7.505,-0.069,1.633,RANGING,79.5,A,3,1.5,False
2023-10-30 04:00:00,2023-10-30 06:00:00,INJUSDT,13.825,13.306135,14.603298,3.753,-5.97,2.574,TRENDING,68.6,B,6,1.5,True
